"V0001";"V0002";"V1006";"V0010";"V0011";"V0502";"V0601";"V6036";"V6037"
"31";"43302";1;13.3093258805726;"3143302005001";16;"1";27;
"31";"43302";1;13.3093258805726;"3143302005001";1;"1";32;
"31";"43302";1;9.6322375270206;"3143302005001";4;"1";47;
"31";"43302";1;9.6322375270206;"3143302005001";1;"2";79;
"31";"43302";1;9.6322375270206;"3143302005001";4;"2";60;
"31";"43302";1;9.6322375270206;"3143302005001";4;"2";56;
"31";"43302";1;9.6322375270206;"3143302005001";4;"2";54;
"31";"43302";1;9.6322375270206;"3143302005001";2;"1";80;
"31";"43302";1;9.6322375270206;"3143302005001";4;"1";32;
"31";"43302";1;8.031161877908;"3143302005001";2;"2";74;
"31";"43302";1;8.031161877908;"3143302005001";1;"1";77;
"31";"43302";1;14.3240967200486;"3143302005001";16;"1";25;
"31";"43302";1;14.3240967200486;"3143302005001";1;"1";28;
"31";"43302";1;15.395100837556;"3143302005001";1;"2";49;
"31";"43302";1;15.395100837556;"3143302005001";4;"2";19;
"31";"43302";1;15.395100837556;"3143302005001";4;"2";19;
"31";"43302";1;15.395100837556;"3143302005001";2;"1";52;
"31";"43302";1;4.3609928518276;"3143302005001";1;"1";48;
"31";"43302";1;4.3609928518276;"3143302005001";2;"2";50;
"31";"43302";1;4.3609928518276;"3143302005001";4;"2";24;
"31";"43302";1;4.3609928518276;"3143302005001";4;"2";22;
"31";"43302";1;4.3609928518276;"3143302005001";4;"2";21;
"31";"43302";1;6.3525422253664;"3143302005001";1;"1";53;
"31";"43302";1;6.3525422253664;"3143302005001";2;"2";55;
"31";"43302";1;6.3525422253664;"3143302005001";4;"2";18;
"31";"43302";1;6.3525422253664;"3143302005001";4;"1";13;
"31";"43302";1;14.0730690175682;"3143302005001";5;"1";7;
"31";"43302";1;14.0730690175682;"3143302005001";1;"2";29;
"31";"43302";1;10.3030719509158;"3143302005001";1;"1";70;
"31";"43302";1;9.1792981613619;"3143302005001";2;"2";70;
"31";"43302";1;9.1792981613619;"3143302005001";1;"1";68;
"31";"43302";1;9.8366521229513;"3143302005001";1;"2";37;
"31";"43302";1;9.1034700804539;"3143302005001";1;"1";58;
"31";"43302";1;9.1034700804539;"3143302005001";12;"2";59;
"31";"43302";1;9.1034700804539;"3143302005001";14;"2";17;
"31";"43302";1;9.1034700804539;"3143302005001";12;"1";55;
"31";"43302";1;9.1034700804539;"3143302005001";12;"1";48;
